the,ðә
intriguing,"in'tri:giŋ"
maximize,"'mæksimaiz"
advisor,"әd'vaizә"
paragraph,"'pærәgrɑ:f"
breeding,"'bri:diŋ"
footage,"'futidʒ"
preferred,"pri'fә:d"
absurd,"әb'sә:d"
thrust,θrʌst
allied,"ә'laid"
temptation,"temp'teiʃәn"
reservoir,"'rezәvwɑ:"
tiger,"'taigә"
strap,stræp
feast,fi:st
unfamiliar,".ʌnfә'miljә"
conductor,"kәn'dʌktә"
analogy,"ә'nælәdʒi"
inhabitant,"in'hæbitәnt"
toddler,"'tɔdlә"
determined,"di'tә:mind"
logo,"'lәugәu"
intensify,"in'tensifai"
arc,ɑ:k
sway,swei
upgrade,"'ʌpgreid"
postwar,"'pәust'wɒ:"
erosion,"i'rәuʒәn"
manifest,"'mænifest"
sophomore,"'sɒfәmɒ:"
refusal,"ri'fju:zl"
recreational,".rekri'eiʃәnәl"
flush,flʌʃ
lick,lik
educated,"'edjukeitid"
align,"ә'lain"
unaware,".ʌnә'wєә"
mighty,"'maiti"
idiot,"'idiәt"
courthouse,"'kɒ:thaus"
defect,"di'fekt"
subjective,"sәb'dʒektiv"
accountant,"ә'kauntәnt"
navy,"'neivi"
sufficiently,"sә'fiʃәntli"
vulnerability,".vʌlnәrә'biliti"
valve,vælv
owl,aul
fairness,"'fєәnis"
slash,slæʃ
diner,"'dainә"
advertisement,".ædvә'taizmәnt"
finely,"'fainli"
petition,"pi'tiʃәn"
correspondence,".kɒri'spɒndәns"
artery,"'ɑ:tәri"
static,"'stætik"
curator,"kjuә'reitә"
correction,"kә'rekʃәn"
mist,mist
grower,"'grәuә"
nonsense,"'nɒnsәns"
humble,"'hʌmbl"
broadway,"'brɒ:dwei"
gum,gʌm
baseline,"'beislain"
fishery,"'fiʃәri"
thesis,"'θi:sis"
audio,"'ɒ:diou"
dressing,"'dresiŋ"
coefficient,"kәui'fiʃәnt"
cosmic,"'kɒzmik"
qualified,"'kwɒlifaid"
ponder,"'pɒndә"
complicate,"'kɒmplikeit"
sanctuary,"'sæŋktʃuәri"
prepared,"pri'pєәd"
denounce,"di'nauns"
beating,"'bi:tiŋ"
stool,stu:l
lounge,laundʒ
credible,"'kredәbl"
tuna,"'tju:nә"
revision,"ri'viʒәn"
daylight,"'deilait"
simmer,"'simә"
warrant,"'wɒ:rәnt"
horizontal,".hɒri'zɒntәl"
mattress,"'mætris"
exceptional,"ik'sepʃәnәl"
battlefield,"'bætlfi:ld"
wary,"'wєәri"
bundle,"'bʌndl"
saturated,"'sætʃәreitid"
embed,"im'bed"
staffer,"'stɑ:fә"
linen,"'linin"
ozone,"'әuzәun"
robbery,"'rɒbәri"
memorable,"'memәrәbl"
recorder,"ri'kɒ:dә"
nicely,"'naisli"
footstep,"'futstep"
prostitute,"'prɒstitju:t"
drip,drip
clove,klәuv
shocking,"'ʃɒkiŋ"
elevate,"'eliveit"
loosen,lu:sn
forced,fɒ:st
intake,"'inteik"
predictor,"pri'diktә"
lottery,"'lɒtәri"
chore,tʃɒ:
fringe,frindʒ
shopper,"'ʃɒpә"
lengthy,"'leŋθi"
hedge,hedʒ
tattoo,"tә'tu:"
reduced,"ri'dju:st"
lease,li:s
heating,"'hi:tiŋ"
murmur,"'mә:mә"
princess,"'prinsis"
coral,"'kɒrәl"
appliance,"ә'plaiәns"
maid,meid
circus,"'sә:kәs"
gauge,geidʒ
census,"'sensәs"
rationale,".ræʃә'nɑ:li"
corps,kɒ:
lieutenant,"lef'tenәnt"
inhabit,"in'hæbit"
injustice,"in'dʒʌstis"
quota,"'kwәutә"
stride,straid
excerpt,"'eksә:pt"
motorcycle,"'mәutәsaikl"
soy,sɒi
miniature,"'miniәtʃә"
insurer,"in'ʃuәrә"
oversight,"'әuvәsait"
dub,dʌb
copyright,"'kɒpirait"
reunion,"ri:'ju:njәn"
ripe,raip
viewpoint,"'vju:pɒint"
unbelievable,".ʌnbi'li:vәbl"
snatch,snætʃ
coordination,"kәu.ɒ:di'neiʃәn"
amazed,"ә'meizd"
jewel,"'dʒu:әl"
accord,"ә'kɒ:d"
slogan,"'slәugәn"
outrageous,"aut'reidʒәs"
waiting,"'weitiŋ"
overly,"'әuvәli"
halloween,".hælәu'i:n"
buffalo,"'bʌfәlәu"
perch,pә:tʃ
shrine,ʃrain
individually,".indi'vidʒuәli"
albeit,"ɔ:l'bi:it"
mold,mәuld
misery,"'mizәri"
adequately,"'ædikwәtli"
nickname,"'nikneim"
addict,"ә'dikt"
dial,"'daiәl"
marginal,"'mɑ:dʒinәl"
mustard,"'mʌstәd"
berry,"'beri"
ramp,ræmp
mug,mʌg
controller,"kәn'trәulә"
villager,"'vilidʒә"
cleaning,"'kli:niŋ"
fertility,"fә'tiliti"
relaxed,"ri'lækst"
hail,heil
indoor,"'indɒ:"
secretly,"'si:kritli"
whatsoever,".hwɒtsәu'evә"
notify,"'nәutifai"
garment,"'gɑ:mәnt"
activate,"'æktiveit"
naive,"nɑ:'i:v"
exert,"ig'zә:t"
arctic,"'ɑ:ktik"
certification,".sә:tifi'keiʃәn"
trustee,".trʌs'ti:"
caregiver,ˈkeəgɪvə(r)
kindergarten,"'kindә.gɑ:tn"
boulder,"'bәuldә"
cereal,"'siәriәl"
fracture,"'fræktʃә"
quilt,kwilt
turnover,"'tә:n.әuvә"
sensible,"'sensәbl"
socioeconomic,"'sәuʃiәu,i:kә'nɔmik"
pyramid,"'pirәmid"
bachelor,"'bætʃәlә"
protestant,"'prɒtistәnt"
moving,"'mu:viŋ"
tract,trækt
operational,".ɒpә'reiʃәnl"
convincing,"kәn'vinsiŋ"
decoration,".dekә'reiʃәn"
proudly,"'praudli"
descendant,"di'sendәnt"
lump,lʌmp
scarf,skɑ:f
freeway,"'fri:wei"
clash,klæʃ
upward,"'ʌpwәd"
newsletter,"'nju:z.letә"
mammal,mæmәl
yank,jæŋk
multiply,"'mʌltiplai"
pumpkin,"'pʌmpkin"
imitate,"'imiteit"
sampling,"'sɑ:mpliŋ"
configuration,"kәn.figju'reiʃәn"
velvet,"'velvit"
notorious,"nәu'tɒ:riәs"
compost,"'kɒmpәust"
cough,kɒf
stereo,"'stiәriәu"
lethal,"'li:θәl"
olive,"'ɒliv"
roller,"'rәulә"
entail,"in'teil"
toast,tәust
filmmaker,"'film,meikә(r)"
credential,"kri'denʃәl"
swirl,swә:l
broadly,"'brɒ:dli"
smoothly,"'smu:ðli"
ham,hæm
distraction,"dis'trækʃәn"
fling,fliŋ
livestock,"'laivstɒk"
basin,"'beisn"
roam,rәum
heroic,"hi'rәuik"
heir,єә
foam,fәum
offset,"'ɒ:fset"
affiliation,"ә.fili'eiʃәn"
insure,"in'ʃuә"
asteroid,"'æstәrɒid"
interface,"'intәfeis"
tomb,tu:m
abandoned,"ә'bændәnd"
bald,bɒ:ld
bookstore,"'bukstɒ:"
straightforward,"streit'fɒ:wәd"
anticipation,"æn.tisi'peiʃәn"
don,dɒn
frustrating,"frʌ'streitiŋ"
glorious,"'glɒ:riәs"
honesty,"'ɒnisti"
encouragement,"in'kʌridʒmәnt"
crisp,krisp
selective,"si'lektiv"
meditation,".medi'teiʃәn"
fearful,"'fiәful"
sausage,"'sɒsidʒ"
overturn,".әuvә'tә:n"
deprive,"di'praiv"
compact,"kәm'pækt"
transcript,"'trænskript"
beautifully,"'bju:tifuli"
standpoint,"'stændpɒint"
empower,"im'pauә"
mainland,"'meinlәnd"
flourish,"'flʌriʃ"
tug,tʌg
shiver,"'ʃivә"
lobster,"'lɒbstә"
solidarity,".sɒli'dæriti"
discharge,"dis'tʃɑ:dʒ"
turning,"'tә:niŋ"
detection,"di'tekʃәn"
saddle,"'sædl"
artwork,"'ɑ:twә:k"
lasting,"'lɑ:stiŋ"
freeman,"'fri:mәn"
occurrence,"ә'kʌrәns"
partisan,"'pɑ:tizn"
abundant,"ә'bʌndәnt"
prone,prәun
renewed,"ri'nju:d"
hose,hәuz
formidable,"'fɒ:midәbl"
liberation,".libә'reiʃәn"
hammer,"'hæmә"
exclusion,"ik'sklu:ʒәn"
burial,"'beriәl"
mobilize,"'mәubilaiz"
vigorous,"'vigәrәs"
unwilling,".ʌn'wiliŋ"
lazy,"'leizi"
passport,"'pæspɒ:t"
packet,"'pækit"
fond,fɒnd
questionable,"'kwestʃәnәbl"
rep,rep
surplus,"'sә:plәs"
poise,pɒiz
marital,"'mæritәl"
vicious,"'viʃәs"
photographic,".fәutә'græfik"
surroundings,"sә'rajndiŋz"
victorian,"vik'tɔ:riәn"
homemade,"'hәum'meid"
drape,dreip
evangelical,",i:væn'dʒelikәl"
spokeswoman,"'spәuks,wumәn"
wedge,wedʒ
coffin,"'kɒfin"
server,"'sә:vә"
sandy,"'sændi"
tense,tens
archaeologist,".ɑ:ki'ɒlәdʒist"
disturbance,"dis'tә:bәns"
comparative,"kәm'pærәtiv"
pharmaceutical,",fɑ:mә'sju:tikәl"
leisure,"'li:ʒә"
prototype,"'prәutәtaip"
vegetation,".vedʒi'teiʃәn"
magnet,"'mægnit"
emit,"i'mit"
acquaintance,"ә'kweintәns"
unusually,"ʌn'ju:ʒәli"
contempt,"kәn'tempt"
lender,"'lendә"
seasonal,"'si:znәl"
bastard,"'bæstәd"
efficacy,"'efikәsi"
anthropologist,".ænθrә'pɒlәdʒist"
desired,"di'zaiәd"
zoo,zu:
module,"'mɒdju:l"
dominance,"'dɔminәns"
ample,"'æmpl"
theorist,"'θi:әrist"
disadvantage,".disәd'vɑ:ntidʒ"
stripe,straip
potent,"'pәutnt"
foremost,"'fәumәust"
exclaim,"iks'kleim"
tee,ti:
reported,"ri'pɔ:tid"
dentist,"'dentist"
crossing,"'krɒsiŋ"
den,den
sorrow,"'sɒrәu"
oyster,"'ɒistә"
adverse,"'ædvә:s"
provincial,"prә'vinʃәl"
conditioning,"kәn'diʃәniŋ"
scholarly,"'skɔlәli"
improving,"im'pru:viŋ"
exaggerate,"ig'zædʒәreit"
whisk,hwisk
pastry,"'peistri"
decisive,"di'saisiv"
reactor,"ri'æktә"
seventeen,"sevn'ti:n"
visually,"'vizjjәli"
volcano,"vɒl'keinәu"
jealous,"'dʒelәs"
molecular,"mә'lekjulә"
greeting,"'gri:tiŋ"
satisfying,"'sætisfaiiŋ"
arch,ɑ:tʃ
pasture,"'pæstʃә"
rebellion,"ri'beljәn"
constituency,"kәn'stitjuәnsi"
chuckle,"'tʃʌkl"
swamp,swɒmp
dash,dæʃ
awesome,"'ɒ:sәm"
lesbian,"'lezbiәn"
evidently,"'evidәntli"
standardized,"'stændә,daizd"
steering,"'stiәriŋ"
deliberate,"di'libәrәt"
fictional,"'fikʃәnl"
bait,beit
usage,"'ju:sidʒ"
novelist,"'nɒvәlist"
sore,sɒ:
subscale,"'sʌb,skeil"
reef,ri:f
oath,әuθ
embargo,"im'bɑ:gәu"
erect,"i'rekt"
registered,"'redʒistәd"
efficiently,"i'fiʃәntli"
implant,"im'plɑ:nt"
deficiency,"di'fiʃәnsi"
nephew,"'nefju:"
vintage,"'vintidʒ"
blur,blә:
enrollment,"in'rәulmәnt"
dietary,"'daiәtәri"
fertilizer,"'fә:tilaizә"
fairy,"'fєәri"
freezing,"'fri:ziŋ"
altitude,"'æltitju:d"
glare,glєә
squint,skwint
flashlight,"'flæʃlait"
urgency,"'ә:dʒәnsi"
recruitment,"ri'kru:tmәnt"
handy,"'hændi"
racist,"'reisist"
oddly,"'ɒdli"
varied,"'vєәrid"
differentiate,".difә'renʃieit"
collaborate,"kә'læbәreit"
succession,"sәk'seʃәn"
waitress,"'weitris"
tricky,"'triki"
elk,elk
brazilian,"brә'ziljәn"
remnant,"'remnәnt"
cement,"si'ment"
morally,"'mɒrәli"
recite,"ri'sait"
communal,"'kɒmjunәl"
situate,"'sitjueit"
guiding,"'^aidiŋ"
unemployed,".ʌnim'plɒid"
cuisine,"kwi:'zi:n"
thinker,"'θiŋkә"
expanding,"iks'pændiŋ"
wrestle,"'resl"
interference,".intә'fiәrәns"
underestimate,".ʌndәr'estimeit"
spoil,spɒil
bacon,"'beikәn"
maturity,"mә'tjuәriti"
devastate,"'devәsteit"
clause,klɒ:z
navigate,"'nævigeit"
collaborative,"kә'læbәreitiv"
robust,"rәu'bʌst"
darling,"'dɑ:liŋ"
mama,"'mɑ:mә"
parlor,"'pɑ:lә"
bulletin,"'bulitin"
ecology,"i:'kɒlәdʒi"
northwestern,".nɒ:θ'westәn"
accessory,"әk'sesәri"
resent,"ri'zent"
terrace,"'terәs"
continuity,".kɒnti'nju:iti"
indirect,".indi'rekt"
petty,"'peti"
temper,"'tempә"
blossom,"'blɒsәm"
smiling,"'smailiŋ"
spacecraft,"'speiskræft"
generic,"dʒi'nerik"
bureaucratic,"bjuәrәu'krætik"
marathon,"'mærәθәn"
globalization,",^lәjbәlai'zeiʃәn;-li'z-"
prestigious,"pre'stidʒiәs"
discomfort,"dis'kʌmfәt"
icy,"'aisi"
applied,"ә'plaid"
backpack,"'bækpæk"
massacre,"'mæsәkә"
spur,spә:
trench,trentʃ
deviation,".di:vi'eiʃәn"
spirituality,",spiritju'æliti"
whistle,"'hwisl"
cinnamon,"'sinәmәn"
devotion,"di'vәuʃәn"
governance,"'gʌvәnәns"
diesel,"'di:zәl"
astronomy,"ә'strɒnәmi"
insane,"in'sein"
unpleasant,".ʌn'pleznt"
roster,"'rɒstә"
skeleton,"'skelәtn"
briefing,"'bri:fiŋ"
spawn,spɒ:n
entertaining,".entә'teiniŋ"
sew,sәu
inflict,"in'flikt"
marked,mɑ:kt
indict,"in'dait"
muddy,"'mʌdi"
profoundly,"prә'fajndli"
occupational,".ɒkju'peiʃәnl"
singing,"'siŋiŋ"
turtle,"'tә:tl"
trio,"'tri:әu"
ferry,"'feri"
leverage,"'levәridʒ"
consulting,"kәn'sʌltiŋ"
sticky,"'stiki"
comeback,"'kʌmbæk"
thereafter,".ðєәr'æftә"
conflicting,"kәn'fliktiŋ"
clergy,"'klә:dʒi"
astonishing,"ә'stɒniʃiŋ"
renewal,"ri'nju:әl"
turmoil,"'tә:mɒil"
painted,"'peintid"
migrate,"'maigreit"
perfection,"pә'fekʃәn"
referral,"ri'fә:rәl"
keen,ki:n
sustained,"sәs'teind"
rite,rait
offspring,"'ɒ:fspriŋ"
mathematical,".mæθә'mætikl"
imaginary,"i'mædʒinәri"
orient,"'ɒ:riәnt"
archive,"'ɑ:kaiv"
adhere,"әd'hiә"
receipt,"ri'si:t"
radically,"'rædikәli"
pillar,"'pilә"
swedish,"'swi:diʃ"
underwear,"'ʌndәwєә"
contamination,"kәn.tæmi'neiʃәn"
appropriation,"әprәupri'eiʃәn"
uneasy,".ʌn'i:zi"
disappearance,".disә'piәrәns"
unacceptable,".ʌnәk'septәbl"
privileged,"'privilidʒd"
carriage,"'kæridʒ"
sporting,"'spɒ:tiŋ"
fox,fɒks
messenger,"'mesindʒә"
artillery,"ɑ:'tilәri"
hitter,"'hitә"
pavement,"'peivmәnt"
moist,mɒist
retention,"ri'tenʃәn"
relevance,"'relivәns"
mentality,"men'tæliti"
postpone,"pәust'pәun"
motif,"mәu'ti:f"
contention,"kәn'teinʃәn"
tractor,"'træktә"
beneficiary,".beni'fiʃәri"
helpless,"'helplis"
ballet,"'bælei"
statewide,"'steitwaid"
hobby,"'hɒbi"
bosnian,bɔzni:ən
velocity,"vi'lɒsәti"
critically,"'kritikәli"
pathway,"'pɑ:θwei"
reconcile,"'rekәnsail"
compartment,"kәm'pɑ:tmәnt"
policymaker,"'pɔlisi.meikә"
madness,"'mædnis"
hub,hʌb
noisy,"'nɒizi"
opposing,"ә'pәuziŋ"
cleaner,"'kli:nә"
insult,"'insʌlt"
asthma,"'æsmә"
usher,"'ʌʃә"
golfer,"'gɒlfә"
misleading,"mis'li:diŋ"
fury,"'fjuri"
embark,"im'bɑ:k"
spontaneous,"spɒn'teiniәs"
slender,"'slendә"
proliferation,".prәulifә'reiʃәn"
bloom,blu:m
necklace,"'neklis"
perimeter,"pә'rimitә"
brochure,"'brәuʃә"
blouse,blauz
firing,"'faiәriŋ"
proximity,"prɒk'simiti"
lettuce,"'letis"
manifestation,".mænifes'teiʃәn"
brace,breis
inn,in
perfume,"'pә:fju:m"
colonel,"'kә:nәl"
matching,"'mætʃiŋ"
symbolize,"'simblaiz"
flock,flɒk
rivalry,"'raivlri"
firearm,"'faiә'ɑ:m"
sermon,"'sә:mәn"
refine,"ri'fain"
volatile,"'vɒlәtail"
oval,"'әuvәl"
mule,mju:l
rigorous,"'rigәrәs"
linebacker,"'lainbækә"
delighted,"di'laitid"
turf,tә:f
hurdle,"'hә:dl"
canoe,"kә'nu:"
sturdy,"'stә:di"
broaden,"'brɒ:dn"
definitive,"di'finitiv"
propel,"prәu'pel"
voyage,"'vɒiidʒ"
parsley,"'pɑ:sli"
replicate,"'replikeit"
distort,"dis'tɒ:t"
scoop,sku:p
swift,swift
overweight,"'әuvә'weit"
advancement,"әd'vɑ:nsmәnt"
undo,".ʌn'du:"
tab,tæb
stalk,stɒ:k
intimidate,"in'timideit"
goddess,"'gɒdis"
verge,vә:dʒ
plague,pleig
sergeant,"'sɑ:dʒәnt"
batch,bætʃ
grandson,"'grændsʌn"
lace,leis
bipartisan,"bai,pɑ:ti'zæn"
deter,"di'tә:"
smoker,"'smәukә"
expire,"ik'spaiә"
catastrophe,"kә'tæstrәfi"
adjacent,"ә'dʒeisәnt"
withhold,"wið'hәuld"
messy,"'mesi"
unpredictable,".ʌnpri'diktәbl"
ivory,"'aivәri"
embryo,"'embriәu"
coincide,".kәuin'said"
diagnostic,"daiәg'nɒstik"
decorative,"'dekәreitiv"
stark,stɑ:k
lucrative,"'lu:krәtiv"
transcend,"træn'send"
rag,ræg
resistant,"ri'zistәnt"
violin,".vaiә'lin"
promptly,"'prɒmptli"
expanded,"ik'spendid"
escort,"'eskɒ:t"
dedicated,"'dedikeitid"
reopen,".ri:'әupәn"
homosexuality,"-'æliti"
stall,stɒ:l
detention,"di'tenʃәn"
liar,"'laiә"
talking,"'tɒ:kiŋ"
southeastern,"sauθ'i:stәn"
elicit,"i'lisit"
fascination,".fæsi'neiʃәn"
pact,pækt
em,em
hull,hʌl
contender,"kәn'tendә(r)"
oblige,"ә'blaidʒ"
vest,vest
inquire,"in'kwaiә"
bust,bʌst
signify,"'signifai"
prestige,"pre'sti:ʒ"
bolster,"'bәulstә"
elevation,".eli'veiʃәn"
loved,lʌvd
linguistic,"liŋ'^wistik"
splash,splæʃ
vibrant,"'vaibrәnt"
sensibility,".sensi'biliti"
parole,"pә'rәul"
backdrop,"'bækdrɒp"
reformer,"ri'fɒ:mә"
happening,"'hæpәniŋ"
poetic,"pәu'etik"
modeling,"'mɔdliŋ"
interrogation,"in.terәu'geiʃәn"
shooter,"'ʃu:tә"
scoring,"'skɔ:riŋ"
stain,stein
sticker,"'stikә"
imminent,"'iminәnt"
foil,fɒil
alpha,"'ælfә"
geographical,"dʒiә'græfikl"
publishing,"'pʌbliʃiŋ"
rude,ru:d
backwards,"'bækwәdz"
bearing,"'bєәriŋ"
unveil,".ʌn'veil"
frustrated,"frʌ'streitid"
clap,klæp
landlord,"'lændlɒ:d"
uncommon,".ʌn'kɒmәn"
bunker,"'bʌŋkә"
accepted,"әk'septid"
animated,"'ænimeitid"
deepen,"'dipәn"
enduring,"in'djuәriŋ"
amusement,"ә'mju:zmәnt"
curb,kә:b
implicit,"im'plisit"
anthropology,".ænθrә'pɒlәdʒi"
conquer,"'kɒŋkә"
crouch,"'krautʃ"
interestingly,"'intristiŋli"
dictator,"'dikteitә"
composite,"kәm'pɒzit"
unlimited,".ʌn'limitid"
therapeutic,".θerә'pju:tik"
fetch,fetʃ
inhale,"in'heil"
forthcoming,"'fɒ:θ'kʌmɑŋ"
circular,"'sә:kjulә"
siren,"'saiәrin"
vacant,"'veikәnt"
width,widθ
greed,gri:d
deaf,def
hillside,"'hilsaid"
incoming,"'inkʌmiŋ"
referendum,".refә'rendәm"
complement,"'kɒmplimәnt"
weary,"'wiәri"
allocate,"'ælәukeit"
lush,lʌʃ
probable,"'prɒbәbl"
mourn,mɒ:n
millionaire,".miljә'nєә"
arguably,"'ɑ:ɡjuәbli"
scarce,skɑ:s
charitable,"'tʃæritәbl"
siege,si:dʒ
paradox,"'pærәdɒks"
prevailing,"pri'veiliŋ"
barbecue,"'bɑ:bikju:"
pervasive,"pә'veisiv"
definite,"'definit"
preside,"pri'zaid"
discriminate,"dis'krimineit"
strangely,"'streindʒli"
disruption,"dis'rʌpʃәn"
translator,"træn'leitә"
strategist,"'strætidʒist"
trademark,"'treidmɑ:k"
nowadays,"'nauәdeiz"
displace,"dis'pleis"
territorial,".teri'tɒ:riәl"
homosexual,".hɒmәu'sekjuәl"
multicultural,".mʌlti'kʌltʃәrәl"
catalogue,"'kætәlɒg"
marsh,mɑ:ʃ
polar,"'pәulә"
gradual,"'grædʒuәl"
solitary,"'sɒlitәri"
documentation,".dɒkjumen'teiʃәn"
casually,"'kæʒjuәli"
puppy,"'pʌpi"
angler,"'æŋ^lә"
slump,slʌmp
remainder,"ri'meindә"
median,"'mi:diәn"
prohibition,".prәuhi'biʃәn"
inaudible,"in'ɒ:dәbl"
pending,"'pendiŋ"
dating,"'deitiŋ"
coconut,"'kәukәnәt"
dislike,"dis'laik"
badge,bædʒ
void,vɒid
paradise,"'pærәdais"
seafood,"'si:fu:d"
battered,"'bætәd"
granite,"'grænit"
theologian,".θi:ә'lәudʒәn"
erode,"i'rәud"
hum,hʌm
synthetic,"sin'θetik"
restrain,"ri'strein"
viewing,"'vju:iŋ"
syrup,"'sirәp"
qualification,".kwɒlifi'keiʃәn"
buying,"'baiiŋ"
desktop,"'desktɔp"
beverage,"'bevәridʒ"
premiere,"pri'miә"
mimic,"'mimik"
wholly,"'hәuli"
oppression,"ә'preʃәn"
ammunition,".æmju'niʃәn"
paperwork,"'peipәwә:k"
pierce,piәs
hybrid,"'haibrid"
indulge,"in'dʌldʒ"
pest,pest
lodge,lɒdʒ
steroids,"'stɪərɔɪdz"
interim,"'intәrim"
prairie,"'prєәri"
atmospheric,"ætmәs'ferik"
suspected,"sә'spektid"
commuter,"kә'mju:tә"
flick,flik
serial,"'siәriәl"
investigative,"in'vestigeitiv"
texan,"'teksәn"
dice,dais
dwarf,dwɒ:f
pear,pєә
boomer,"'bu:mә"
surpass,"sә'pɑ:s"
infinite,"'infinit"
gossip,"'gɒsip"
reflective,"ri'flektiv"
contradict,".kɒntrә'dikt"
muscular,"'mʌskjulә"
landfill,"'lændfil"
finished,"'finiʃt"
commute,"kә'mju:t"
temporal,"'tempәrәl"
bilateral,"bai'lætәrәl"
pluck,plʌk
lunar,"'lu:nә"
discrepancy,"dis'krepәnsi"
utter,"'ʌtә"
patio,"'pɑ:tiәu"
sincere,"sin'siә"
intermediate,".intә'mi:diәt"
demise,"di'maiz"
enrich,"in'ritʃ"
chant,tʃænt. tʃɑ:nt
submarine,"'sʌbmәri:n"
overwhelmingly,".әuvә'hwelmiŋli"
premature,".premә'tjuә"
tout,taut
crater,"'kreitә"
comfortably,"'kʌmfәtәbli"
exploitation,".eksplɒi'teiʃәn"
jersey,"'dʒә:zi"
clown,klaun
ditch,ditʃ
secondly,"'sekәndli"
loaf,lәuf
cushion,"'kuʃәn"
wrestling,"'resliŋ"
vaguely,"'veigli"
twilight,"'twailait"
adolescence,".ædәu'lesәns"
comprehend,".kɒmpri'hend"
dispose,"dis'pәuz"
unlock,".ʌn'lɒk"
imaging,"i'mædʒiŋ"
squirrel,"'skwә:rәl"
destine,"'destin"
bleeding,"'bli:diŋ"
royalty,"'rɒiәlti"
superb,"sju'pә:b"
responsive,"ri'spɒnsiv"
understandable,".ʌndә'stændәbl"
salon,"'sælɔ:ŋ"
loosely,"'lu:sli"
evacuate,"i'vækjueit"
descriptive,"di'skriptiv"
modified,"'mɔdifaid"
hardship,"'hɑ:dʃip"
squash,skwɒʃ
postcard,"'pәustkɑ:d"
instability,".instә'biliti"
pity,"'piti"
relocate,"ri:'lәukeit"
affiliate,"ә'filieit"
gulf,gʌlf
elusive,"i'lu:siv"
dodge,dɒdʒ
unwanted,".ʌn'wɒntid"
bureaucrat,"'bjuәrәukræt"
claw,klɒ:
marvelous,"'mɑ:vәlәs"
mercury,"'mә:kjuri"
skepticism,"'skeptisizm"
incomplete,".inkәm'pli:t"
laborer,"'leibәrә"
continuously,"kәn'tinjuәsli"
immunity,"i'mju:niti"
reliance,"ri'laiәns"
planetary,"'plænitri"
nucleus,"'nju:kliәs"
cater,"'keitә"
chess,tʃes
blonde,blɔnd
brightly,"'braitli"
tornado,"tɒ:'neidәu"
filing,"'failiŋ"
camel,"'kæml"
heck,hek
declining,"di'klainiŋ"
conform,"kәn'fɒ:m"
worthwhile,"'wә:θ'hwail"
cuff,kʌf
bud,bʌd
shipment,"'ʃipmәnt"
admiration,".ædmә'reiʃәn"
certified,"'sә:tifaid"
sperm,spә:m
sedan,"si'dæn"
apartheid,"ә'pɑ:theit"
overview,"'әuvәvju:"
withstand,"wið'stænd"
earring,"'iәriŋ"
irrigation,".iri'geiʃәn"
expel,"ik'spel"
extinction,"ik'stiŋkʃәn"
apparatus,".æpә'reitәs"
reluctance,"ri'lʌktәns"
forgiveness,"fә'givnis"
scarcely,"'skɑ:sli"
cabbage,"'kæbidʒ"
slack,slæk
lumber,"'lʌmbә"
societal,"sә'saiәtl"
prevalent,"'prevәlәnt"
benign,"bi'nain"
calmly,"'kɑ:mli"
dedication,".dedi'keiʃәn"
eve,i:v
inequality,".ini'kwɒliti"
archaeological,".ɑ:kiә'lɒdʒikl"
kidnap,"'kidnæp"
windshield,"'windʃi:ld"
rugged,"'rʌgid"
preschool,"'pri:'sku:l"
apt,æpt
earnest,"'ә:nist"
optimal,"'ɒptimәl"
coherent,"kәu'hiәrәnt"
canned,kænd
simplicity,"sim'plisiti"
staple,"'steipl"
plaque,plɑ:k
confidential,".kɒnfi'denʃәl"
autobiography,".ɒ:tәubai'ɒgrәfi"
superstar,"'sju:pәstɑ:"
sleek,sli:k
compatible,"kәm'pætәbl"
intensely,"ɪn'tenslɪ"
deduction,"di'dʌkʃәn"
whiskey,"'hwiski"
dune,dju:n
grilled,grild
rinse,rins
interpersonal,".intә'pә:sәnәl"
staircase,"'stєәkeis"
shipping,"'ʃipiŋ"
susceptible,"sә'septәbl"
inconsistent,".inkәn'sistәnt"
appealing,"ә'pi:liŋ"
ambiguity,".æmbi'gju:iti"
relentless,"ri'lentlis"
fixture,"'fikstʃә"
tester,"'testә"
crumble,"'krʌmbl"
vampire,"'væmpaiә"
canopy,"'kænәpi"
certify,"'sә:tifai"
vase,veis
merchandise,"'mә:tʃәndaiz"
periodically,",piәri'ɔdikəli"
negotiator,"ni'gәuʃieitә"
maternal,"mә'tә:nl"
gardening,"'gɑ:dniŋ"
massage,"'mæsɑ:ʒ"
loneliness,"'lәunlinis"
cynical,"'sinikәl"
blunt,blʌnt
excel,"ik'sel"
fungus,"'fʌŋgәs"
accidentally,".æksi'dentli"
gratitude,"'grætitju:d"
astronomical,".æstrә'nɒmikl"
emperor,"'empәrә"
authoritarian,"ɒ:.θɒri'tєәriәn"
hue,hju:
triple,"'tripl"
enzyme,"'enzaim"
disparity,"dis'pæriti"
deepest,dipɪst
intercept,".intә'sept"
postal,"'pәustl"
ambiguous,"æm'bigjuәs"
surviving,"sә'vaiviŋ"
cylinder,"'silindә"
cafeteria,".kæfi'tiәriә"
dire,daiә
membrane,"'membrein"
preceding,".pri:'si:diŋ"
selling,"'seliŋ"
allocation,".ælәu'keiʃәn"
dismantle,"dis'mæntl"
honorable,"'ɒnәrәbl"
communism,"'kɒmjunizm"
pave,peiv
heap,hi:p
precaution,"pri'kɒ:ʃәn"
fry,frai
glide,glaid
